Effective date ,S&P GSCI Energy & Metals,Rate of rise or fall,Ln(B),Ln(今日)-Ln(昨日),5日标准差,5日年化标准差,,,
2011/10/31,495.26,,6.205082877,,,,,,
2011/11/1,489.26,-1.211%,6.192894046,-0.012188832,,,,,
2011/11/2,491.16,0.388%,6.19676994,0.003875895,,,,,
2011/11/3,497.19,1.228%,6.208972247,0.012202307,,,,,
2011/11/4,499.62,0.489%,6.213847809,0.004875563,,,,,
2011/11/7,506.16,1.309%,6.226852825,0.013005015,0.010131657,0.160835065,,,
2011/11/8,509.92,0.743%,6.234253851,0.007401026,0.004167399,0.066155413,,,
2011/11/9,503.17,-1.324%,6.220928085,-0.013325766,0.010693758,0.169758145,,,
2011/11/10,507.86,0.932%,6.230205819,0.009277734,0.010261045,0.162889039,,,
2011/11/11,512.3,0.874%,6.238910391,0.008704572,0.010460652,0.166057701,,,
2011/11/14,508.44,-0.753%,6.231347214,-0.007563177,0.01057543,0.167879743,,,
2011/11/15,511.7,0.641%,6.237738516,0.006391301,0.010428851,0.165552878,,,
2011/11/16,518.55,1.339%,6.251036455,0.013297939,0.007991068,0.126854277,,,
2011/11/17,503.11,-2.978%,6.220808834,-0.030227621,0.017654345,0.280254033,,,
2011/11/18,498.87,-0.843%,6.212345541,-0.008463293,0.016726354,0.265522643,,,
2011/11/21,493.83,-1.010%,6.202191328,-0.010154212,0.016853154,0.267535528,,,
2011/11/22,500,1.249%,6.214608098,0.01241677,0.018113894,0.287549145,,,
2011/11/23,491.95,-1.610%,6.198377085,-0.016231013,0.01542291,0.244831098,,,
2011/11/25,490.7,-0.254%,6.195832943,-0.002544142,0.010886585,0.172819184,,,
2011/11/28,498.43,1.575%,6.211463158,0.015630215,0.013886599,0.22044293,,,
2011/11/29,505.25,1.368%,6.225053356,0.013590198,0.013679887,0.217161479,,,
2011/11/30,509.08,0.758%,6.232605175,0.007551819,0.013145023,0.208670779,,,
2011/12/1,506.12,-0.581%,6.226773795,-0.00583138,0.009555497,0.151688814,,,
2011/12/2,509.98,0.763%,6.234371509,0.007597714,0.008377248,0.132984682,,,
2011/12/5,510.01,0.006%,6.234430333,5.88241E-05,0.007549154,0.119839112,,,
2011/12/6,511.66,0.324%,6.237660342,0.003230009,0.005643789,0.089592372,,,
2011/12/7,507.23,-0.866%,6.22896455,-0.008695792,0.006616884,0.105039783,,,
2011/12/8,499.45,-1.534%,6.213507493,-0.015457057,0.009320678,0.147961169,,,
2011/12/9,501.89,0.489%,6.218380972,0.004873479,0.008625328,0.136922845,,,
2011/12/12,494.47,-1.478%,6.203486482,-0.01489449,0.009734765,0.154534606,,,
2011/12/13,502.83,1.691%,6.220252141,0.016765659,0.01396972,0.221762425,,,
2011/12/14,479.94,-4.552%,6.173661096,-0.046591045,0.024107238,0.382690532,,,
2011/12/15,476.39,-0.740%,6.166236846,-0.00742425,0.024008468,0.381122609,,,
2011/12/16,475.83,-0.118%,6.165060648,-0.001176199,0.023246237,0.369022571,,,
2011/12/19,475.19,-0.135%,6.163714724,-0.001345924,0.023418842,0.371762593,,,
2011/12/20,488.63,2.828%,6.191605557,0.027890833,0.026659019,0.4231988,,,
2011/12/21,494.2,1.140%,6.202940294,0.011334737,0.014082214,0.223548211,,,
2011/12/22,497.12,0.591%,6.208831446,0.005891152,0.012056279,0.191387497,,,
2011/12/23,497.5,0.076%,6.209595557,0.000764111,0.011691923,0.18560352,,,
2011/12/27,502.86,1.077%,6.220311801,0.010716245,0.010196279,0.161860911,,,
2011/12/28,494.78,-1.607%,6.204113219,-0.016198582,0.011288373,0.179197361,,,
2011/12/29,495.73,0.192%,6.206031424,0.001918204,0.010177057,0.161555778,,,
2011/12/30,494.19,-0.311%,6.202920059,-0.003111365,0.009800345,0.155575649,,,
2012/1/3,512.83,3.772%,6.239944406,0.037024348,0.019856887,0.315218309,,,
2012/1/4,516.48,0.712%,6.247036566,0.007092159,0.019710483,0.312894221,,,
2012/1/5,510.91,-1.078%,6.236193449,-0.010843116,0.018345341,0.291223253,,,
2012/1/6,511.64,0.143%,6.237621253,0.001427803,0.018376683,0.291720804,,,
2012/1/9,510.66,-0.192%,6.235704007,-0.001917246,0.018230683,0.289403121,,,
2012/1/10,515.59,0.965%,6.245311876,0.009607869,0.008064359,0.128017733,,,
2012/1/11,510.75,-0.939%,6.235880234,-0.009431642,0.008361547,0.132735451,,,
2012/1/12,506.29,-0.873%,6.227109628,-0.008770606,0.007864506,0.12484517,,,
2012/1/13,503.12,-0.626%,6.22082871,-0.006280917,0.007824935,0.124216989,,,
2012/1/17,509.86,1.340%,6.234136178,0.013307468,0.010888498,0.17284955,,,
2012/1/18,508.62,-0.243%,6.231701176,-0.002435002,0.00937146,0.148767313,,,
2012/1/19,509.26,0.126%,6.232958692,0.001257516,0.008649648,0.137308909,,,
2012/1/20,501.5,-1.524%,6.217603607,-0.015355084,0.010508984,0.166824941,,,
2012/1/23,506.82,1.061%,6.228155911,0.010552304,0.011412618,0.181169701,,,
2012/1/24,505.79,-0.203%,6.226121563,-0.002034348,0.009299625,0.147626963,,,
2012/1/25,508.27,0.490%,6.231012802,0.004891239,0.009704111,0.154047987,,,
2012/1/26,511.24,0.584%,6.236839147,0.005826345,0.010076299,0.15995629,,,
2012/1/27,513.05,0.354%,6.240373306,0.003534159,0.00453207,0.071944382,,,
2012/1/30,509.33,-0.725%,6.233096137,-0.00727717,0.005535689,0.087876334,,,
2012/1/31,507.51,-0.357%,6.229516415,-0.003579721,0.00578419,0.091821163,,,
2012/2/1,506.82,-0.136%,6.228155911,-0.001360504,0.005301575,0.084159892,,,
